run,step,image_index,output_key,identity,prompt,id_sim,mask_iou,face_count
PM0,0,0,Reading pa_eddie.png,eddie,"Reading paper man img, park bench, calm face, grey overcoat",0.5328614711761475,0.713902966525711,1.0
PM0,0,1,Rushing ma_eddie.png,eddie,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0.5466399192810059,0.922409200968523,2.0
PM0,0,2,Skiing man_eddie.png,eddie,"Skiing man img, snowy slope, fearless grin, orange goggles",0.30269837379455566,0.7627424419294226,1.0
PM0,0,3,Drumming m_eddie.png,eddie,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0.5548802018165588,0.8545688545688546,1.0
PM0,0,4,Kickboxing_eddie.png,eddie,"Kickboxing man img, gym ring, fierce roar face, sweatband",0.5698301792144775,0.840619588680409,1.0
PM0,0,5,Dancing ma_eddie.png,eddie,"Dancing man img, neon club, euphoric face, silver jumpsuit",0.3314996361732483,0.34146341463414637,1.0
PM0,0,6,Angry man _eddie.png,eddie,"Angry man img, traffic jam, scowling face, dark suit",0.5608930587768555,0.8427741315162409,1.0
PM0,0,7,Crying man_eddie.png,eddie,"Crying man img, stormy alley, tearful face, ripped jeans",0.5503782629966736,0.8064787205204662,1.0
PM0,0,8,Laughing m_eddie.png,eddie,"Laughing man img, carnival wheel, carefree laugh, polka-dot shirt",0.510086178779602,0.7930397763701177,1.0
PM0,0,9,Jumping ma_eddie.png,eddie,"Jumping man img, beach sunset, ecstatic face, blue tank top",0.3651691675186157,0.9111364748084135,1.0
PM0,0,10,Night-ride_eddie.png,eddie,"Night-ride biker man img, neon city, excited face, reflective vest",0.5594465732574463,0.8060170262005124,1.0
PM0,0,11,Chef man i_eddie.png,eddie,"Chef man img, bustling kitchen, proud grin, tall white toque",0.5368139743804932,0.8220255653883972,2.0
PM0,0,12,Reading pa_elon.png,elon,"Reading paper man img, park bench, calm face, grey overcoat",0.6515654921531677,0.9038629001358459,1.0
PM0,0,13,Rushing ma_elon.png,elon,"Rushing man img portrait, subway platform, anxious face, swinging briefcase",0.6113142371177673,0.9023868354688336,1.0
PM0,0,14,Skiing man_elon.png,elon,"Skiing man img, snowy slope, fearless grin, orange goggles",0.4440070390701294,0.93253734581293,1.0
PM0,0,15,Drumming m_elon.png,elon,"Drumming man img, rock concert in rain, passionate angry face, black t-shirt",0.6491946578025818,0.8771159126178822,1.0
PM0,0,16,Kickboxing_elon.png,elon,"Kickboxing man img, gym ring, fierce roar face, sweatband",0.6553789377212524,0.8744124305599753,1.0
PM0,0,17,Dancing ma_elon.png,elon,"Dancing man img, neon club, euphoric face, silver jumpsuit",0.46260109543800354,0.9056728961627778,1.0
PM0,0,18,Angry man _elon.png,elon,"Angry man img, traffic jam, scowling face, dark suit",0.6221492290496826,0.9008713999945195,1.0
PM0,0,19,Crying man_elon.png,elon,"Crying man img, stormy alley, tearful face, ripped jeans",0.5777297616004944,0.9341982307500623,1.0
PM0,0,20,Laughing m_elon.png,elon,"Laughing man img, carnival wheel, carefree laugh, polka-dot shirt",0.6224353313446045,0.8808004140072452,1.0
PM0,0,21,Jumping ma_elon.png,elon,"Jumping man img, beach sunset, ecstatic face, blue tank top",0.4846378564834595,0.7710775314221155,1.0
PM0,0,22,Night-ride_elon.png,elon,"Night-ride biker man img, neon city, excited face, reflective vest",0.6005209684371948,0.938977223893425,1.0
PM0,0,23,Chef man i_elon.png,elon,"Chef man img, bustling kitchen, proud grin, tall white toque",0.6710518598556519,0.8281889178133135,2.0
PM0,0,24,Reading pa_jennie.png,jennie,"Reading paper woman img, park bench, calm face, grey overcoat",0.6863403916358948,0.9494163424124513,1.0
PM0,0,25,Rushing wo_jennie.png,jennie,"Rushing woman img portrait, subway platform, anxious face, swinging briefcase",0.695376992225647,0.9271814739808047,1.0
PM0,0,26,Skiing wom_jennie.png,jennie,"Skiing woman img, snowy slope, fearless grin, orange goggles",0.6633578538894653,0.9505841121495328,1.0
PM0,0,27,Drumming w_jennie.png,jennie,"Drumming woman img, rock concert in rain, passionate angry face, black t-shirt",0.6516895890235901,0.8865132504360547,1.0
PM0,0,28,Kickboxing_jennie.png,jennie,"Kickboxing woman img, gym ring, fierce roar face, sweatband",0.6341953277587891,0.8938464995345553,1.0
PM0,0,29,Dancing wo_jennie.png,jennie,"Dancing woman img, neon club, euphoric face, silver jumpsuit",0.5703200101852417,0.933753458346142,1.0
PM0,0,30,Angry woma_jennie.png,jennie,"Angry woman img, traffic jam, scowling face, dark suit",0.7079390287399292,0.9388495735801125,1.0
PM0,0,31,Crying wom_jennie.png,jennie,"Crying woman img, stormy alley, tearful face, ripped jeans",0.6516962051391602,0.8992489750921556,1.0
PM0,0,32,Laughing w_jennie.png,jennie,"Laughing woman img, carnival wheel, carefree laugh, polka-dot shirt",0.6198707222938538,0.960180777664866,1.0
PM0,0,33,Jumping wo_jennie.png,jennie,"Jumping woman img, beach sunset, ecstatic face, blue tank top",0.48830360174179077,0.9658667461618721,1.0
PM0,0,34,Night-ride_jennie.png,jennie,"Night-ride biker woman img, neon city, excited face, reflective vest",0.6674176454544067,0.833701109725287,1.0
PM0,0,35,Chef woman_jennie.png,jennie,"Chef woman img, bustling kitchen, proud grin, tall white toque",0.6529825925827026,0.8380059455751201,2.0
